epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.978,3.22155,22.0198,0.96577,0.10867,0.17822,0.02695,0.00612,3.01363,144.94,0.77108,0.00052,0.00052,0.00052
2,606.508,3.38652,3.54231,0.93961,0.26743,0.15842,0.09635,0.01474,3.37968,5.36345,0.82917,0.00104951,0.00104951,0.00104951
3,903.505,3.35501,2.53575,0.95354,0.26515,0.0396,0.04413,0.00936,2.98419,4.87644,0.77359,0.00156832,0.00156832,0.00156832
4,1210.6,3.13258,2.32753,0.90448,0,0,0,0,2.15926,2.66784,0.52189,0.0019406,0.0019406,0.0019406
5,1496.08,3.37452,2.18977,0.92681,0.40541,0.0198,0.02413,0.00473,3.79658,2.97455,0.82077,0.0019208,0.0019208,0.0019208
6,1791.08,3.17982,1.83256,0.9133,0.07953,0.07921,0.02679,0.00716,3.33992,3.34584,0.77842,0.001901,0.001901,0.001901
7,2092.04,3.16526,1.89019,0.9276,0.48615,0.30693,0.30369,0.08798,3.13644,2.01605,0.78748,0.0018812,0.0018812,0.0018812
8,2378.9,2.94524,1.80917,0.8892,0.42392,0.22772,0.26165,0.07526,2.65523,2.19834,0.77587,0.0018614,0.0018614,0.0018614
9,2661.95,3.01987,1.82389,0.89561,0.62627,0.28713,0.2827,0.06546,2.99602,2.40939,0.77873,0.0018416,0.0018416,0.0018416
10,2944.13,2.94682,1.89818,0.88082,0.31515,0.13861,0.08715,0.02186,2.61316,2.00211,0.6577,0.0018218,0.0018218,0.0018218
11,3466.22,3.00492,1.88488,0.89877,0.42133,0.28713,0.26519,0.06785,2.40317,2.63228,0.7388,0.001802,0.001802,0.001802
12,3757.82,2.88253,1.80813,0.86949,0.66918,0.35644,0.37582,0.08661,2.84206,2.60613,0.72963,0.0017822,0.0017822,0.0017822
13,4048.48,2.79679,1.64482,0.89333,0.5444,0.42574,0.41604,0.12576,2.51215,1.66968,0.73443,0.0017624,0.0017624,0.0017624
14,4343.63,2.78452,1.64577,0.88351,0.58251,0.48515,0.45096,0.12942,2.58224,1.42286,0.74134,0.0017426,0.0017426,0.0017426
15,4632.34,2.78986,1.59914,0.88914,0.53136,0.43564,0.44093,0.1035,2.59987,1.75783,0.74102,0.0017228,0.0017228,0.0017228
16,4921.63,2.61818,1.50857,0.88182,0.62515,0.30693,0.37167,0.12756,2.59543,1.78345,0.72941,0.001703,0.001703,0.001703
17,5212.83,2.55906,1.46485,0.85777,0.20548,0.29703,0.27604,0.08488,3.22067,2.64609,0.75991,0.0016832,0.0016832,0.0016832
18,10214.6,2.66344,1.55761,0.87679,0.67111,0.44449,0.50221,0.16642,2.47704,1.57399,0.75736,0.0016634,0.0016634,0.0016634
19,10508.6,2.58351,1.44604,0.86198,0.70687,0.40589,0.5241,0.18482,2.33851,1.53629,0.70999,0.0016436,0.0016436,0.0016436
20,10781.9,2.73563,1.39801,0.88324,0.61175,0.33663,0.44077,0.13339,2.66715,1.89372,0.76437,0.0016238,0.0016238,0.0016238
21,11054.7,2.60426,1.50481,0.89249,0.54988,0.27723,0.32459,0.0941,2.64415,1.9351,0.7574,0.001604,0.001604,0.001604
22,11327.7,2.70086,1.64189,0.87937,0.78046,0.41584,0.54968,0.17989,2.49319,1.75289,0.75853,0.0015842,0.0015842,0.0015842
23,11599.8,2.64691,1.5297,0.86258,0.72429,0.39018,0.51902,0.16603,2.1528,1.71109,0.74532,0.0015644,0.0015644,0.0015644
24,11872.4,2.59365,1.48921,0.86153,0.53989,0.39502,0.42381,0.12323,2.32571,1.58911,0.73585,0.0015446,0.0015446,0.0015446
25,12144,2.67366,1.43091,0.87903,0.64805,0.51485,0.52842,0.14537,2.23434,1.24884,0.73861,0.0015248,0.0015248,0.0015248
26,12416.5,2.65613,1.25734,0.87096,0.69372,0.51485,0.58812,0.18754,2.18268,1.35817,0.74639,0.001505,0.001505,0.001505
27,12689.6,2.4838,1.35784,0.86279,0.73467,0.4935,0.54229,0.16645,2.54701,1.39513,0.75758,0.0014852,0.0014852,0.0014852
28,12961.3,2.49558,1.27879,0.85151,0.38022,0.39604,0.33682,0.11007,2.73596,1.57325,0.76005,0.0014654,0.0014654,0.0014654
29,13234,2.57691,1.32277,0.85912,0.77775,0.48507,0.56126,0.16083,2.37805,1.34071,0.74038,0.0014456,0.0014456,0.0014456
30,13558.8,2.46218,1.24277,0.84209,0.79057,0.41117,0.55197,0.18307,2.74538,1.70473,0.77373,0.0014258,0.0014258,0.0014258
31,13847.8,2.47973,1.38507,0.85031,0.4534,0.39604,0.38063,0.11381,2.62523,1.75262,0.75981,0.001406,0.001406,0.001406
32,14134.7,2.47122,1.40261,0.8415,0.40668,0.37624,0.33858,0.12248,2.36387,1.61024,0.72704,0.0013862,0.0013862,0.0013862
33,14420.9,2.41516,1.29333,0.85418,0.50795,0.45545,0.43443,0.1644,2.17426,1.47514,0.73381,0.0013664,0.0013664,0.0013664
34,14707.3,2.39701,1.3098,0.82602,0.59898,0.50495,0.53103,0.17921,2.30184,1.4527,0.73688,0.0013466,0.0013466,0.0013466
35,14993.9,2.46609,1.59212,0.8477,0.71123,0.39022,0.48133,0.16562,2.14573,1.74395,0.72896,0.0013268,0.0013268,0.0013268
36,15279.9,2.48858,1.1553,0.86355,0.59424,0.38614,0.42815,0.12041,2.47118,1.5751,0.73912,0.001307,0.001307,0.001307
37,15567.2,2.3998,1.18983,0.83504,0.61928,0.49505,0.46982,0.15602,2.20676,1.29396,0.74607,0.0012872,0.0012872,0.0012872
38,15854.4,2.49976,1.28711,0.86103,0.64917,0.32673,0.48697,0.17265,2.47895,1.63954,0.74409,0.0012674,0.0012674,0.0012674
39,16141.1,2.37789,1.15172,0.85474,0.62805,0.38614,0.41793,0.14761,2.46622,1.5777,0.72786,0.0012476,0.0012476,0.0012476
40,16427.2,2.41948,1.12955,0.83937,0.49999,0.53465,0.51773,0.19757,2.21022,1.53815,0.73789,0.0012278,0.0012278,0.0012278
41,16713.7,2.46791,1.10915,0.85371,0.6324,0.49396,0.55965,0.22363,2.15982,1.34056,0.74558,0.001208,0.001208,0.001208
42,17000.8,2.33064,1.15674,0.85688,0.67709,0.41522,0.50721,0.20946,2.32427,1.33815,0.74763,0.0011882,0.0011882,0.0011882
43,17287.8,2.28732,1.18328,0.83867,0.57845,0.39604,0.42929,0.13985,2.39024,1.39184,0.72108,0.0011684,0.0011684,0.0011684
44,17574.5,2.22345,1.08832,0.83813,0.76674,0.42574,0.59928,0.22613,2.36236,1.53668,0.75043,0.0011486,0.0011486,0.0011486
45,17880.3,2.31357,1.20108,0.83477,0.48167,0.44554,0.42975,0.16881,2.19252,1.56129,0.73149,0.0011288,0.0011288,0.0011288
46,18185.9,2.36568,1.17808,0.84057,0.7698,0.45545,0.57736,0.22372,2.2847,1.14206,0.747,0.001109,0.001109,0.001109
47,18488.9,2.1469,1.08816,0.84069,0.68908,0.52475,0.56198,0.19925,2.27497,1.11257,0.74084,0.0010892,0.0010892,0.0010892
48,18763.4,2.29001,1.09822,0.83882,0.75237,0.48135,0.60182,0.23344,2.21628,1.21165,0.74003,0.0010694,0.0010694,0.0010694
49,19037.5,2.31157,1.12725,0.86294,0.73448,0.39604,0.4876,0.19296,2.34544,1.4825,0.74568,0.0010496,0.0010496,0.0010496
50,19312.4,2.24155,1.06378,0.84021,0.65256,0.48352,0.52856,0.18422,2.52199,1.37026,0.75511,0.0010298,0.0010298,0.0010298
51,19586.8,2.23764,1.07859,0.827,0.77729,0.49505,0.53882,0.19579,2.48975,1.23764,0.74891,0.00101,0.00101,0.00101
52,19883.8,2.37491,1.13403,0.83022,0.50869,0.52475,0.51567,0.20208,2.13904,1.20854,0.73294,0.0009902,0.0009902,0.0009902
53,20186.8,2.13085,1.00916,0.83296,0.74853,0.49505,0.64183,0.23296,2.31841,1.33527,0.74278,0.0009704,0.0009704,0.0009704
54,20489.3,2.18079,0.96887,0.85807,0.81116,0.4253,0.60932,0.22832,2.39484,1.3749,0.75349,0.0009506,0.0009506,0.0009506
55,20778.4,2.20157,1.12939,0.81848,0.5585,0.47525,0.54971,0.19862,2.29863,1.2121,0.74261,0.0009308,0.0009308,0.0009308
56,21050.9,2.17818,1.04378,0.85451,0.68928,0.50516,0.53813,0.19441,2.23745,1.20216,0.73669,0.000911,0.000911,0.000911
57,21322.3,2.25922,1.01507,0.83229,0.80572,0.42574,0.5047,0.17816,2.17993,1.33473,0.73675,0.0008912,0.0008912,0.0008912
58,21593.4,2.24226,0.97717,0.85513,0.68132,0.35644,0.44335,0.16785,2.49475,1.49187,0.74344,0.0008714,0.0008714,0.0008714
59,21865.6,2.119,1.01462,0.85317,0.73844,0.36634,0.4551,0.19318,2.28664,1.23668,0.74473,0.0008516,0.0008516,0.0008516
60,22138.5,2.08016,0.91807,0.84559,0.80588,0.41108,0.49664,0.2017,2.1742,1.34785,0.73301,0.0008318,0.0008318,0.0008318
61,22411.4,2.12413,1.05378,0.84109,0.72082,0.40905,0.48836,0.1802,2.26077,1.29152,0.73729,0.000812,0.000812,0.000812
62,22682.3,2.14317,0.98429,0.83719,0.68209,0.39604,0.48093,0.19923,2.01052,1.19359,0.72878,0.0007922,0.0007922,0.0007922
63,22956.1,2.17918,0.95448,0.84392,0.70599,0.44554,0.58371,0.24667,1.88779,1.08851,0.72389,0.0007724,0.0007724,0.0007724
64,23228.1,2.12942,0.94968,0.82535,0.79529,0.46162,0.62587,0.25976,2.02006,1.14166,0.72607,0.0007526,0.0007526,0.0007526
